occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Padder (amphibia)",,,"NONE","100",,,,,,,,,,,,,
,"Taenia saginata","Taenia saginata Goeze, 1782","6101574","EXACT","99","ACCEPTED","SPECIES","Animalia","Platyhelminthes","Cestoda","Cyclophyllidea","Taeniidae","Taenia","Taenia saginata","Taenia saginata","Goeze, 1782","6101574",
,"Ved ikke",,,"NONE","100",,,,,,,,,,,,,
,"Mammuthus primigenius","Mammuthus primigenius (Blumenbach, 1799)","4825833","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","Mammuthus primigenius","Mammuthus primigenius","(Blumenbach, 1799) ","4825833",
,"Beelzebufo","Beelzebufo Evans, Jones & Krause, 2008","6141906","EXACT","94","ACCEPTED","GENUS","Animalia","Chordata","Amphibia","Anura",,"Beelzebufo",,"Beelzebufo","Evans, Jones & Krause, 2008","6141906",
,"Mola mola","Mola mola (Linnaeus, 1758)","5213725","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Tetraodontiformes","Molidae","Mola","Mola mola","Mola mola","(Linnaeus, 1758) ","5213725",
,"Gorilla Gorilla",,,"NONE","100",,,,,,,,,,,,,
,"Canis lupus familiaris","Canis lupus familiaris Linnaeus, 1758","6164210","EXACT","98","ACCEPTED","SUBSPECIES","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus","Canis lupus familiaris","Linnaeus, 1758","6164210",
,"Macropinna microstoma","Macropinna microstoma Chapman, 1939","2411162","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Osmeriformes","Opisthoproctidae","Macropinna","Macropinna microstoma","Macropinna microstoma","Chapman, 1939","2411162",
,"Bufo bufo","Bufo bufo (Linnaeus, 1758)","5217160","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Anura","Bufonidae","Bufo","Bufo bufo","Bufo bufo","(Linnaeus, 1758) ","5217160",
,"Homo sapiens","Homo sapiens Linnaeus, 1758","2436436","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Homo sapiens","Linnaeus, 1758","2436436",
,"Locusta migratoria","Locusta migratoria (Linnaeus, 1758)","1713418","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Locusta","Locusta migratoria","Locusta migratoria","(Linnaeus, 1758) ","1713418",
,"Costasiella kuroshimae","Costasiella kuroshimae Ichikawa, 1993","5859288","EXACT","99","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Costasiellidae","Costasiella","Costasiella kuroshimae","Costasiella kuroshimae","Ichikawa, 1993","5859288",
,"Orcinus Orca",,,"NONE","100",,,,,,,,,,,,,
,"Dafnia",,,"NONE","100",,,,,,,,,,,,,
,"Ursus maritimus (isbj�rn)","Ursus maritimus Phipps, 1774","2433451","EXACT","98","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus maritimus","Ursus maritimus","Phipps, 1774","2433451",
,"Balaenoptera musculus","Balaenoptera musculus (Linnaeus, 1758)","2440735","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera musculus","Balaenoptera musculus","(Linnaeus, 1758) ","2440735",
,"Nasalis Larvatus",,,"NONE","100",,,,,,,,,,,,,
,"Petunia integrifolia","Petunia integrifolia (Hook.) Schinz & Thell.","2928861","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Petunia","Petunia integrifolia","Petunia integrifolia","(Hook.) Schinz & Thell.","2928861",
,"Aurelia Aurita",,,"NONE","100",,,,,,,,,,,,,
,"Cheloniidae","Cheloniidae","9413","EXACT","94","ACCEPTED","FAMILY","Animalia","Chordata","Testudines",,"Cheloniidae",,,"Cheloniidae",,"9413",
,"Felis catus","Felis catus Linnaeus, 1758","2435035","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus","Felis catus","Linnaeus, 1758","2435035",
,"Tyto alba","Tyto alba (Scopoli, 1769)","2497921","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Strigiformes","Tytonidae","Tyto","Tyto alba","Tyto alba","(Scopoli, 1769) ","2497921",
,"Rhinocerotidae","Rhinocerotidae","9415","EXACT","94","ACCEPTED","FAMILY","Animalia","Chordata","Mammalia","Perissodactyla","Rhinocerotidae",,,"Rhinocerotidae",,"9415",
,"Dunke dyret",,,"NONE","100",,,,,,,,,,,,,
,"Canis","Canis Linnaeus, 1758","5219142","EXACT","92","ACCEPTED","GENUS","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis",,"Canis","Linnaeus, 1758","5219142",
,"Natrix natrix","Natrix natrix (Linnaeus, 1758)","6161347","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Squamata",,"Colubridae","Natrix","Natrix natrix","Natrix natrix","(Linnaeus, 1758) ","6161347",
,"Strix aluco","Strix aluco Linnaeus, 1758","9282206","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix aluco","Strix aluco","Linnaeus, 1758","9282206",
,"Aegithalos caudatus","Aegithalos caudatus (Linnaeus, 1758)","2495000","EXACT","97","DOUBTFUL","SPECIES","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","Aegithalos caudatus","(Linnaeus, 1758) ","2495000",
,"Nelumbo nucifera","Nelumbo nucifera Gaertn.","2882449","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Proteales","Nelumbonaceae","Nelumbo","Nelumbo nucifera","Nelumbo nucifera","Gaertn.","2882449",
,"Panthera tigris","Panthera tigris (Linnaeus, 1758)","5219416","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera tigris","Panthera tigris","(Linnaeus, 1758) ","5219416",
,"Litorella uniflora","Littorella uniflora (L.) Asch.","5421111","FUZZY","80","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Littorella","Littorella uniflora","Littorella uniflora","(L.) Asch.","5421111",
,"Hericium Erinaceus",,,"NONE","100",,,,,,,,,,,,,
,"Lutra Lutra",,,"NONE","100",,,,,,,,,,,,,
,"Panthera tigris","Panthera tigris (Linnaeus, 1758)","5219416","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera tigris","Panthera tigris","(Linnaeus, 1758) ","5219416",
,"Cordyceps","Cordyceps (Fr.) Link","7532950","EXACT","93","SYNONYM","GENUS","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Cordyceps",,"Cordyceps","(Fr.) Link","7532950","2560661"
,"Costasiella kuroshimae","Costasiella kuroshimae Ichikawa, 1993","5859288","EXACT","99","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Costasiellidae","Costasiella","Costasiella kuroshimae","Costasiella kuroshimae","Ichikawa, 1993","5859288",
,"Bufo bufo","Bufo bufo (Linnaeus, 1758)","5217160","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Anura","Bufonidae","Bufo","Bufo bufo","Bufo bufo","(Linnaeus, 1758) ","5217160",
,"Bos taurus","Bos taurus Linnaeus, 1758","2441022","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Bos taurus","Linnaeus, 1758","2441022",
,"Danaus Plexippus",,,"NONE","100",,,,,,,,,,,,,
